epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,3.598690,0.000000,3.598695,1.703520,0.000000,1.703524,265.405088
2,1.159376,0.000000,1.159386,0.766599,0.000000,0.766608,273.448055
3,0.638977,0.000000,0.638991,0.639754,0.000000,0.639766,282.628773
4,0.486180,0.000000,0.486196,0.653962,0.000000,0.653975,275.561232
5,0.460731,0.000000,0.460749,0.688479,0.000000,0.688493,272.144435
6,0.445182,0.000000,0.445200,0.695058,0.000000,0.695072,284.231692
7,0.445731,0.000000,0.445750,0.706806,0.000000,0.706820,283.808636
8,0.444950,0.000000,0.444968,0.706978,0.000000,0.706993,286.966254
9,0.444313,0.000000,0.444332,0.712167,0.000000,0.712181,285.350343
10,0.441006,0.000000,0.441025,0.683009,0.000000,0.683022,284.874928
11,0.449560,0.000000,0.449578,0.695649,0.000000,0.695663,284.125597
12,0.445510,0.000000,0.445528,0.692909,0.000000,0.692923,295.011741
13,0.447511,0.000000,0.447529,0.672618,0.000000,0.672632,289.750090
14,0.455772,0.000000,0.455790,0.689525,0.000000,0.689539,280.234122
15,0.447149,0.000000,0.447167,0.706055,0.000000,0.706069,281.796645
16,0.440456,0.000000,0.440475,0.682476,0.000000,0.682489,285.799375
17,0.448777,0.000000,0.448795,0.700607,0.000000,0.700621,283.343592
18,0.445263,0.000000,0.445281,0.710907,0.000000,0.710921,280.832763
19,0.444005,0.000000,0.444024,0.715205,0.000000,0.715219,293.861756
20,0.443617,0.000000,0.443636,0.716937,0.000000,0.716951,294.476253
21,0.443458,0.000000,0.443477,0.717393,0.000000,0.717407,296.158730
22,0.443430,0.000000,0.443448,0.717462,0.000000,0.717477,290.930178
23,0.443448,0.000000,0.443466,0.717631,0.000000,0.717646,297.058056
24,0.443423,0.000000,0.443441,0.717637,0.000000,0.717651,296.253224
25,0.444768,0.000000,0.444786,0.709437,0.000000,0.709451,290.584473
26,0.444143,0.000000,0.444162,0.714472,0.000000,0.714486,289.122352
27,0.443684,0.000000,0.443703,0.716480,0.000000,0.716494,289.267076
28,0.443511,0.000000,0.443529,0.717261,0.000000,0.717275,289.435445
29,0.443449,0.000000,0.443468,0.717563,0.000000,0.717577,287.961385
30,0.443426,0.000000,0.443445,0.717678,0.000000,0.717693,294.799947
