epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,7.246475,7.246475,0.000000,2.102331,2.102331,0.000000,155.014136
2,1.851514,1.851514,0.000000,0.547992,0.547992,0.000000,142.674347
3,0.624252,0.624252,0.000000,0.414901,0.414901,0.000000,153.621485
4,0.319032,0.319032,0.000000,0.475152,0.475152,0.000000,144.668370
5,0.229502,0.229502,0.000000,0.548504,0.548504,0.000000,143.942655
6,0.208375,0.208375,0.000000,0.593539,0.593539,0.000000,143.954694
7,0.203549,0.203549,0.000000,0.617308,0.617308,0.000000,146.887142
8,0.202442,0.202442,0.000000,0.629163,0.629163,0.000000,161.245377
9,0.202186,0.202186,0.000000,0.634954,0.634954,0.000000,176.313555
10,0.202126,0.202126,0.000000,0.637726,0.637726,0.000000,173.987181
