epoch,train_loss,valid_loss,time
1,3.516044,0.486622,100.241419

2,0.318362,0.268223,102.675668

3,0.262691,0.264999,110.074088

4,0.258670,0.251480,110.309936

5,0.243028,0.237479,111.734352

6,0.235424,0.234561,103.727640

7,0.232912,0.231160,112.887112

8,0.227240,0.232459,108.017986

9,0.225822,0.227411,113.030834

10,0.227237,0.230199,108.007491

