epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,16.532658,9.055086,7.477571,8.842671,4.189961,4.652709,181.101721
2,8.933910,4.286669,4.647242,6.677760,1.772829,4.904932,178.082061
3,6.855168,2.065560,4.789608,3.755682,0.807491,2.948192,181.022473
4,5.717810,2.554106,3.163704,3.526975,1.524120,2.002855,172.182350
5,4.083630,1.947732,2.135898,2.172277,0.830254,1.342023,181.641505
6,2.605428,1.138489,1.466940,1.511331,0.534900,0.976430,174.511231
7,1.767733,0.704353,1.063380,1.214112,0.432758,0.781354,180.348271
8,1.291230,0.471446,0.819784,1.102524,0.419197,0.683327,182.663806
9,1.019125,0.346491,0.672634,1.081498,0.442121,0.639376,179.010289
10,0.863109,0.279449,0.583660,1.101142,0.476538,0.624604,174.716130
11,0.773273,0.243478,0.529795,1.135982,0.511201,0.624781,176.854528
12,0.721310,0.224175,0.497134,1.173583,0.541659,0.631923,177.077931
13,0.691108,0.213817,0.477291,1.208371,0.566688,0.641683,174.002542
14,0.673462,0.208256,0.465205,1.238271,0.586476,0.651795,163.033772
15,0.663092,0.205272,0.457820,1.262918,0.601748,0.661170,169.702927
