epoch,train_loss,valid_loss,time
1,8.185798,4.846160,55.941040

2,3.152828,1.923102,55.423725

3,1.304592,0.849338,58.701971

4,0.620116,0.450511,60.728200

5,0.363409,0.301289,58.876891

6,0.266276,0.245006,58.591857

7,0.246665,0.239670,58.449846

8,0.225012,0.221190,61.270105

9,0.212196,0.213810,59.126402

10,0.206810,0.210699,61.722803

