epoch,train_loss,valid_loss,time
1,1.765114,0.264168,105.956912

2,0.267117,0.267320,108.833800

3,0.265998,0.261637,112.409842

4,0.260132,0.255911,113.533812

5,0.254076,0.251019,117.088288

6,0.247962,0.245875,112.800649

7,0.242551,0.241181,109.534107

8,0.238926,0.238624,115.142472

9,0.234568,0.234604,112.961670

10,0.230914,0.231814,114.184047

