epoch,train_loss,valid_loss,time
1,5.558541,1.757662,62.383255

2,0.875577,0.423499,62.441662

3,0.330839,0.280095,64.932170

4,0.257729,0.239305,63.168708

5,0.253765,0.241354,63.546653

6,0.227279,0.223500,65.175211

7,0.222041,0.224172,65.019462

8,0.215582,0.216916,64.777752

9,0.212890,0.224186,63.905232

10,0.214485,0.220614,62.321967

