epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,15.777956,9.048071,6.729885,7.729261,4.189559,3.539703,204.973238
2,7.780448,4.291980,3.488469,4.888402,1.777752,3.110650,202.207796
3,5.153986,2.091222,3.062765,2.611615,0.823022,1.788594,203.349745
4,3.944526,2.165788,1.778739,2.264486,1.200636,1.063850,193.737718
5,2.691757,1.575282,1.116475,1.463559,0.678579,0.784980,194.506214
6,1.719181,0.924197,0.794983,1.148085,0.475658,0.672427,194.715363
7,1.210084,0.581755,0.628329,1.057683,0.420891,0.636792,191.658400
8,0.943382,0.401641,0.541742,1.064251,0.429770,0.634482,186.928812
9,0.803517,0.306903,0.496614,1.106579,0.461763,0.644816,191.943139
10,0.730065,0.257070,0.472995,1.156819,0.498405,0.658414,196.389253
11,0.691418,0.230855,0.460562,1.203406,0.532046,0.671360,188.255476
12,0.671032,0.217064,0.453968,1.242458,0.560163,0.682295,205.576376
13,0.660242,0.209808,0.450434,1.273492,0.582503,0.690990,194.365732
14,0.654506,0.205989,0.448517,1.297408,0.599741,0.697667,201.678527
15,0.651439,0.203979,0.447460,1.315456,0.612771,0.702685,191.709448
