epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,11.796722,11.796722,0.000000,8.257784,8.257784,0.000000,159.893056
2,10.184711,10.184711,0.000000,6.988257,6.988257,0.000000,170.588745
3,8.795275,8.795275,0.000000,5.910580,5.910580,0.000000,172.285109
4,7.599231,7.599231,0.000000,4.996947,4.996947,0.000000,173.499169
5,6.569660,6.569660,0.000000,4.223474,4.223474,0.000000,195.164475
6,5.683392,5.683392,0.000000,3.569638,3.569638,0.000000,175.650342
7,4.920478,4.920478,0.000000,3.017916,3.017916,0.000000,177.805982
8,4.263752,4.263752,0.000000,2.553238,2.553238,0.000000,170.224732
9,3.698432,3.698432,0.000000,2.162731,2.162731,0.000000,163.200495
10,3.211805,3.211805,0.000000,1.837685,1.837685,0.000000,180.399483
11,2.792911,2.792911,0.000000,1.564761,1.564761,0.000000,153.064954
12,2.430238,2.430238,0.000000,1.328590,1.328590,0.000000,148.965145
13,2.089661,2.089661,0.000000,1.117720,1.117720,0.000000,150.423199
14,1.792462,1.792462,0.000000,0.948498,0.948498,0.000000,155.291764
15,1.542060,1.542060,0.000000,0.813678,0.813678,0.000000,165.203066
16,1.331450,1.331450,0.000000,0.707512,0.707512,0.000000,169.435475
17,1.153318,1.153318,0.000000,0.624368,0.624368,0.000000,154.729710
18,1.003547,1.003547,0.000000,0.560543,0.560543,0.000000,146.025401
19,0.877375,0.877375,0.000000,0.512171,0.512171,0.000000,158.977713
20,0.771063,0.771063,0.000000,0.476487,0.476487,0.000000,162.967559
21,0.681490,0.681490,0.000000,0.451073,0.451073,0.000000,161.367682
22,0.606022,0.606022,0.000000,0.433934,0.433934,0.000000,159.875576
23,0.542437,0.542437,0.000000,0.423418,0.423418,0.000000,172.355657
24,0.488864,0.488864,0.000000,0.418145,0.418145,0.000000,168.814558
25,0.443726,0.443726,0.000000,0.417018,0.417018,0.000000,177.271215
26,0.405696,0.405696,0.000000,0.419096,0.419096,0.000000,171.914138
27,0.373654,0.373654,0.000000,0.423629,0.423629,0.000000,173.763176
28,0.346657,0.346657,0.000000,0.430004,0.430004,0.000000,167.416062
29,0.323910,0.323910,0.000000,0.437722,0.437722,0.000000,186.131469
30,0.304746,0.304746,0.000000,0.446376,0.446376,0.000000,190.283473
