epoch,train_loss,valid_loss,time
1,2.058368,0.267555,103.222550

2,0.267307,0.263472,101.988915

3,0.263271,0.257340,102.960234

4,0.255953,0.251992,101.287459

5,0.251225,0.249124,102.302797

6,0.246119,0.243234,102.284908

7,0.239523,0.239123,102.108462

8,0.236004,0.236676,102.022876

9,0.232528,0.233127,102.545864

10,0.228477,0.230355,102.018233

