epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,5.484494,5.484494,0.000000,0.924243,0.924243,0.000000,352.700773
2,0.779055,0.779055,0.000000,0.422677,0.422677,0.000000,344.393473
3,0.269795,0.269795,0.000000,0.502717,0.502717,0.000000,362.116788
4,0.232814,0.232814,0.000000,0.534292,0.534292,0.000000,347.577819
5,0.215980,0.215980,0.000000,0.573910,0.573910,0.000000,336.721179
6,0.209668,0.209668,0.000000,0.587323,0.587323,0.000000,271.085801
7,0.208918,0.208918,0.000000,0.597009,0.597009,0.000000,269.418020
8,0.203138,0.203138,0.000000,0.627905,0.627905,0.000000,265.397655
9,0.210453,0.210453,0.000000,0.565964,0.565964,0.000000,269.040930
10,0.210238,0.210238,0.000000,0.578102,0.578102,0.000000,274.062115
11,0.210004,0.210004,0.000000,0.587445,0.587445,0.000000,271.624812
12,0.203682,0.203682,0.000000,0.624511,0.624511,0.000000,347.240362
13,0.202190,0.202190,0.000000,0.637434,0.637434,0.000000,345.356888
14,0.205134,0.205134,0.000000,0.613158,0.613158,0.000000,348.969085
15,0.202482,0.202482,0.000000,0.633643,0.633643,0.000000,349.025779
16,0.202107,0.202107,0.000000,0.634882,0.634882,0.000000,359.967202
17,0.202084,0.202084,0.000000,0.635848,0.635848,0.000000,347.884708
18,0.202066,0.202066,0.000000,0.636715,0.636715,0.000000,363.689902
19,0.202051,0.202051,0.000000,0.637500,0.637500,0.000000,359.997739
20,0.202040,0.202040,0.000000,0.638199,0.638199,0.000000,357.352409
21,0.202030,0.202030,0.000000,0.638830,0.638830,0.000000,360.783921
22,0.202023,0.202023,0.000000,0.639394,0.639394,0.000000,364.727597
23,0.202017,0.202017,0.000000,0.639897,0.639897,0.000000,359.971148
24,0.202012,0.202012,0.000000,0.640353,0.640353,0.000000,350.649609
25,0.202008,0.202008,0.000000,0.640767,0.640767,0.000000,370.352783
26,0.202005,0.202005,0.000000,0.641138,0.641138,0.000000,361.407758
27,0.202002,0.202002,0.000000,0.641472,0.641472,0.000000,370.072364
28,0.202000,0.202000,0.000000,0.641768,0.641768,0.000000,360.589249
29,0.201999,0.201999,0.000000,0.642029,0.642029,0.000000,359.242334
30,0.201997,0.201997,0.000000,0.642265,0.642265,0.000000,349.441568
