epoch,train_loss,valid_loss,time
1,2.443812,0.279190,93.947222

2,0.269659,0.261810,94.693259

3,0.262601,0.260350,94.652067

4,0.258449,0.252345,97.799256

5,0.247841,0.246178,98.194178

6,0.242243,0.241396,99.117163

7,0.237773,0.236718,97.485645

8,0.231724,0.231829,96.769644

9,0.227761,0.229311,96.893792

10,0.224161,0.225860,99.530117

