epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,12.374714,12.374714,0.000000,9.271770,9.271770,0.000000,160.752820
2,11.865487,11.865487,0.000000,8.842643,8.842643,0.000000,163.805918
3,11.377220,11.377220,0.000000,8.432973,8.432973,0.000000,177.220698
4,10.909394,10.909394,0.000000,8.041859,8.041859,0.000000,167.774375
5,10.461154,10.461154,0.000000,7.668479,7.668479,0.000000,177.912599
6,10.031678,10.031678,0.000000,7.312094,7.312094,0.000000,166.520367
7,9.620182,9.620182,0.000000,6.971966,6.971966,0.000000,175.441914
8,9.225913,9.225913,0.000000,6.647373,6.647373,0.000000,165.252469
9,8.848147,8.848147,0.000000,6.337616,6.337616,0.000000,172.361171
10,8.486201,8.486201,0.000000,6.042099,6.042099,0.000000,166.712616
11,8.139405,8.139405,0.000000,5.760135,5.760135,0.000000,156.765200
12,7.807129,7.807129,0.000000,5.491179,5.491179,0.000000,168.730202
13,7.488762,7.488762,0.000000,5.234653,5.234653,0.000000,163.878839
14,7.183726,7.183726,0.000000,4.990001,4.990001,0.000000,161.737211
15,6.891456,6.891456,0.000000,4.756698,4.756698,0.000000,164.917277
16,6.611423,6.611423,0.000000,4.534257,4.534257,0.000000,158.898177
17,6.343114,6.343114,0.000000,4.322187,4.322187,0.000000,163.541693
18,6.086036,6.086036,0.000000,4.119962,4.119962,0.000000,163.782801
19,5.839722,5.839722,0.000000,3.927315,3.927315,0.000000,158.799532
20,5.603719,5.603719,0.000000,3.743681,3.743681,0.000000,167.124337
21,5.377594,5.377594,0.000000,3.568724,3.568724,0.000000,172.531339
22,5.160938,5.160938,0.000000,3.402292,3.402292,0.000000,180.523763
23,4.953354,4.953354,0.000000,3.243300,3.243300,0.000000,167.440731
24,4.754458,4.754458,0.000000,3.092474,3.092474,0.000000,170.724843
25,4.563890,4.563890,0.000000,2.948174,2.948174,0.000000,167.384057
26,4.381298,4.381298,0.000000,2.811617,2.811617,0.000000,165.578552
27,4.206351,4.206351,0.000000,2.681210,2.681210,0.000000,167.666465
28,4.038729,4.038729,0.000000,2.557104,2.557104,0.000000,165.599793
29,3.878124,3.878124,0.000000,2.439027,2.439027,0.000000,165.729811
30,3.724242,3.724242,0.000000,2.326710,2.326710,0.000000,160.157621
